epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1691,0.55643,4.67841,0.0049,0.2383,0.63684,0.49185,0.44455,0.39592,5.77173,0.00504,0.000647619,0.000647619,0.000647619
2,40.8457,0.59937,3.42791,0.00549,0.76008,0.53684,0.71888,0.63733,0.49627,5.19662,0.00618,0.00127091,0.00127091,0.00127091
3,54.2245,0.64461,2.66015,0.00577,0.81563,0.69853,0.81624,0.69941,0.57865,4.00174,0.00786,0.00185021,0.00185021,0.00185021
4,67.5061,0.70693,2.18439,0.00601,0.81085,0.83158,0.8922,0.73431,0.69524,1.60444,0.00979,0.001802,0.001802,0.001802
5,80.7064,0.64578,1.79718,0.00591,0.85613,0.82632,0.88202,0.78212,0.52604,1.22515,0.00722,0.001736,0.001736,0.001736
6,93.7816,0.63363,1.40884,0.00581,0.89628,0.81053,0.91132,0.77271,0.5665,1.14155,0.00773,0.00167,0.00167,0.00167
7,106.9,0.66571,1.256,0.00585,0.90688,0.82009,0.91874,0.79823,0.51898,0.87286,0.00671,0.001604,0.001604,0.001604
8,120.138,0.63479,1.07502,0.00574,0.90766,0.86316,0.93125,0.7925,0.57804,0.68548,0.008,0.001538,0.001538,0.001538
9,132.946,0.60436,0.9514,0.00535,0.94401,0.83158,0.92719,0.79552,0.5704,0.55832,0.00768,0.001472,0.001472,0.001472
10,145.751,0.60021,0.85559,0.00565,0.92352,0.82621,0.93081,0.84978,0.43814,0.51413,0.00598,0.001406,0.001406,0.001406
11,158.545,0.5865,0.80994,0.00557,0.94881,0.86316,0.93928,0.80735,0.56327,0.49578,0.00751,0.00134,0.00134,0.00134
12,171.657,0.60421,0.73449,0.00537,0.88015,0.88897,0.93039,0.80536,0.55497,0.52222,0.00744,0.001274,0.001274,0.001274
13,184.631,0.59448,0.68692,0.00535,0.93708,0.86218,0.94441,0.80931,0.56301,0.45694,0.00756,0.001208,0.001208,0.001208
14,197.895,0.56187,0.63112,0.00498,0.84741,0.87686,0.92654,0.8321,0.43948,0.46581,0.00561,0.001142,0.001142,0.001142
15,211.146,0.54482,0.62692,0.00502,0.90971,0.90148,0.95073,0.85246,0.44906,0.38453,0.0059,0.001076,0.001076,0.001076
16,224.302,0.5208,0.55785,0.00481,0.92168,0.90526,0.95345,0.87794,0.37363,0.38,0.00465,0.00101,0.00101,0.00101
17,237.494,0.47515,0.5462,0.00416,0.96288,0.86316,0.939,0.85285,0.45313,0.44525,0.00626,0.000944,0.000944,0.000944
18,250.542,0.54164,0.5521,0.00489,0.96568,0.88863,0.95361,0.84658,0.45806,0.43609,0.00624,0.000878,0.000878,0.000878
19,263.889,0.48828,0.47276,0.00429,0.97057,0.86787,0.94018,0.85929,0.39863,0.36986,0.00484,0.000812,0.000812,0.000812
20,277.169,0.48862,0.45133,0.00447,0.93903,0.89167,0.96096,0.87296,0.44342,0.37183,0.00564,0.000746,0.000746,0.000746
21,292.38,0.39425,0.43495,0.00396,0.94392,0.88596,0.9424,0.83985,0.50267,0.42219,0.00704,0.00068,0.00068,0.00068
22,305.309,0.41426,0.43686,0.00451,0.96317,0.82575,0.92809,0.83286,0.49244,0.48156,0.00666,0.000614,0.000614,0.000614
23,318.034,0.36295,0.38058,0.00396,0.94443,0.89443,0.95169,0.87107,0.43009,0.41058,0.00585,0.000548,0.000548,0.000548
24,330.938,0.31932,0.36939,0.00347,0.96997,0.87368,0.94549,0.8673,0.38718,0.41448,0.00487,0.000482,0.000482,0.000482
25,343.399,0.3413,0.35857,0.00332,0.94391,0.88564,0.94665,0.86551,0.40617,0.41457,0.00514,0.000416,0.000416,0.000416
26,356.065,0.34694,0.32771,0.00347,0.93034,0.91579,0.95337,0.8762,0.39746,0.37864,0.00506,0.00035,0.00035,0.00035
27,368.605,0.32999,0.3168,0.00336,0.94063,0.92105,0.95304,0.88226,0.37899,0.35659,0.00483,0.000284,0.000284,0.000284
28,381.29,0.28808,0.30053,0.00291,0.97942,0.87895,0.95294,0.88198,0.35502,0.36745,0.00443,0.000218,0.000218,0.000218
29,393.912,0.27573,0.29229,0.00279,0.98109,0.88947,0.95408,0.88649,0.34619,0.36124,0.00425,0.000152,0.000152,0.000152
30,406.393,0.26861,0.28324,0.00266,0.95978,0.91053,0.9542,0.8852,0.34688,0.35257,0.00418,8.6e-05,8.6e-05,8.6e-05
