epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.083,0.61162,1.58965,0.9926,0.95853,0.83491,0.92287,0.8167,0.53051,1.58934,0.88952,0.000661871,0.000661871,0.000661871
2,47.8408,0.70034,1.24522,1.03583,0.9069,0.88208,0.94306,0.81995,0.53717,1.1318,0.88797,0.00130223,0.00130223,0.00130223
3,71.1808,0.71865,1.14203,1.03545,0.80336,0.84434,0.88316,0.74645,0.59057,1.31526,0.92201,0.00191619,0.00191619,0.00191619
4,97.3777,0.69101,1.02762,1.02687,0.92262,0.83491,0.91568,0.7827,0.56546,0.9046,0.93028,0.0018812,0.0018812,0.0018812
5,123.948,0.66767,0.92518,1.01927,0.895,0.92476,0.9451,0.82984,0.50357,0.76057,0.89053,0.0018416,0.0018416,0.0018416
6,147.022,0.65704,0.84317,1.0296,0.85363,0.90783,0.92787,0.82967,0.48795,0.72698,0.87753,0.001802,0.001802,0.001802
7,172.067,0.64512,0.81095,1.01562,0.91178,0.88679,0.94322,0.84284,0.48861,0.66632,0.88194,0.0017624,0.0017624,0.0017624
8,198.337,0.63286,0.77111,1.01156,0.92289,0.89151,0.9344,0.83369,0.48656,0.674,0.89069,0.0017228,0.0017228,0.0017228
9,231.368,0.58862,0.69367,0.98214,0.90514,0.89151,0.95074,0.84772,0.47729,0.56,0.88196,0.0016832,0.0016832,0.0016832
10,262.206,0.60193,0.6697,1.00649,0.92504,0.90094,0.95276,0.84313,0.4784,0.56792,0.87491,0.0016436,0.0016436,0.0016436
11,287.996,0.59437,0.66567,0.99081,0.90698,0.91984,0.95714,0.86384,0.44212,0.51383,0.86071,0.001604,0.001604,0.001604
12,315.725,0.58035,0.64111,1.00133,0.93648,0.90403,0.95854,0.87608,0.40879,0.53999,0.84466,0.0015644,0.0015644,0.0015644
13,342.368,0.57615,0.62664,0.99823,0.93094,0.89016,0.95637,0.86085,0.41648,0.49501,0.85006,0.0015248,0.0015248,0.0015248
14,369.476,0.5646,0.63963,0.97697,0.9273,0.9025,0.95611,0.86027,0.42967,0.48302,0.86717,0.0014852,0.0014852,0.0014852
15,396.014,0.56335,0.60751,0.96893,0.94425,0.91981,0.96273,0.87527,0.4123,0.44118,0.86088,0.0014456,0.0014456,0.0014456
16,424.186,0.52808,0.56099,0.97157,0.9327,0.91509,0.96037,0.8827,0.41442,0.42995,0.85771,0.001406,0.001406,0.001406
17,451.744,0.53175,0.55366,0.97273,0.94354,0.91509,0.95804,0.86913,0.41995,0.43863,0.88565,0.0013664,0.0013664,0.0013664
18,478.775,0.52179,0.53308,0.95485,0.94848,0.88679,0.94853,0.87724,0.38373,0.45783,0.85147,0.0013268,0.0013268,0.0013268
19,506.826,0.49522,0.52781,0.95801,0.94624,0.91038,0.96439,0.87899,0.40364,0.44403,0.8545,0.0012872,0.0012872,0.0012872
20,533.981,0.4838,0.52432,0.94951,0.92015,0.92407,0.95843,0.88655,0.38241,0.40052,0.85802,0.0012476,0.0012476,0.0012476
21,562.532,0.47373,0.50775,0.93989,0.93301,0.91975,0.96124,0.89512,0.35291,0.38936,0.84149,0.001208,0.001208,0.001208
22,591.073,0.464,0.48112,0.93381,0.93838,0.92453,0.96186,0.8851,0.37424,0.39923,0.84984,0.0011684,0.0011684,0.0011684
23,617.493,0.48855,0.50241,0.95767,0.92236,0.89665,0.95768,0.87833,0.39282,0.42621,0.84813,0.0011288,0.0011288,0.0011288
24,644.834,0.46492,0.46721,0.93971,0.91939,0.92925,0.96265,0.89722,0.36417,0.37765,0.84125,0.0010892,0.0010892,0.0010892
25,673.182,0.46444,0.46664,0.94561,0.92065,0.93033,0.96195,0.8942,0.35259,0.39237,0.84673,0.0010496,0.0010496,0.0010496
26,700.714,0.4659,0.46065,0.95325,0.92505,0.93868,0.96446,0.89663,0.34662,0.37241,0.83555,0.00101,0.00101,0.00101
27,728.191,0.43491,0.43396,0.92512,0.93877,0.94023,0.96687,0.91021,0.34212,0.36393,0.82843,0.0009704,0.0009704,0.0009704
28,755.832,0.43454,0.46266,0.92966,0.93017,0.9425,0.96015,0.90594,0.34704,0.34146,0.83828,0.0009308,0.0009308,0.0009308
29,783.196,0.42423,0.43448,0.92503,0.9176,0.9434,0.95768,0.90267,0.35065,0.35282,0.8437,0.0008912,0.0008912,0.0008912
30,810.65,0.45847,0.4595,0.93753,0.95099,0.91527,0.96117,0.89665,0.37648,0.36772,0.84225,0.0008516,0.0008516,0.0008516
31,836.732,0.44445,0.43063,0.93874,0.97062,0.91981,0.96948,0.90273,0.3523,0.3449,0.83957,0.000812,0.000812,0.000812
32,864.024,0.41385,0.39403,0.92573,0.94656,0.91896,0.96859,0.90886,0.32831,0.31502,0.83621,0.0007724,0.0007724,0.0007724
33,891.695,0.42329,0.39801,0.91997,0.96025,0.91164,0.97049,0.90257,0.34684,0.32785,0.85001,0.0007328,0.0007328,0.0007328
34,918.887,0.41508,0.38895,0.92818,0.90932,0.95283,0.96692,0.90813,0.31897,0.32298,0.83445,0.0006932,0.0006932,0.0006932
35,945.843,0.4414,0.39997,0.94604,0.95978,0.93868,0.96864,0.9095,0.30995,0.31243,0.83136,0.0006536,0.0006536,0.0006536
36,973.405,0.41826,0.39653,0.92523,0.95407,0.93396,0.96488,0.90818,0.32102,0.31722,0.83553,0.000614,0.000614,0.000614
37,1000.67,0.4374,0.39466,0.94271,0.96948,0.89912,0.96812,0.91536,0.29849,0.30438,0.82417,0.0005744,0.0005744,0.0005744
